GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customers-api,com.hr.management.controller,CustomerController,7,131,3,3,2,31,3,8,0,8
customers-api,com.hr.management.controller,UserController,58,21,0,0,14,3,5,2,5,2
customers-api,com.hr.management.controller,AuthController,26,9,0,0,6,1,2,1,2,1
customers-api,com.hr.management.security,UserDetailsServiceImpl,0,30,0,0,0,4,0,3,0,3
customers-api,com.hr.management.security,JwtUtils,88,4,0,0,23,1,4,1,4,1
customers-api,com.hr.management.security,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
customers-api,com.hr.management.security,AuthTokenFilter,48,28,6,2,9,10,4,4,0,4
customers-api,com.hr.management.security,UserDetailsImpl,76,45,14,0,5,12,15,6,8,6
customers-api,com.hr.management.service,RoleService,0,14,0,0,0,3,0,3,0,3
customers-api,com.hr.management.service,UserService,179,115,10,2,29,19,8,14,2,14
customers-api,com.hr.management.service,AuthService,0,126,0,2,0,19,0,6,0,5
customers-api,com.hr.management.service,CustomerService,10,187,2,6,1,34,3,15,1,13
customers-api,com.hr.management.exception,ErrorResponse,174,21,34,0,4,5,24,5,7,5
customers-api,com.hr.management.exception,ErrorResponse.ValidationError,15,0,0,0,1,0,3,0,3,0
customers-api,com.hr.management.exception,ElementAlreadyExistsException,8,4,0,0,4,2,2,1,2,1
customers-api,com.hr.management.exception,NoSuchElementFoundException,8,4,0,0,4,2,2,1,2,1
customers-api,com.hr.management.exception,GlobalExceptionHandler,65,64,9,3,10,13,9,7,3,7
customers-api,com.hr.management,CustomerManagerApplication,5,3,0,0,2,1,1,1,1,1
customers-api,com.hr.management.dto.response,UserResponse,47,88,9,5,0,11,9,18,2,18
customers-api,com.hr.management.dto.response,JwtResponse.JwtResponseBuilder,10,35,0,0,0,1,1,6,1,6
customers-api,com.hr.management.dto.response,ApiResponse,107,24,22,0,5,4,16,4,5,4
customers-api,com.hr.management.dto.response,JwtResponse,0,31,0,0,0,5,0,6,0,6
customers-api,com.hr.management.dto.response,CommandResponse.CommandResponseBuilder,4,14,0,0,0,1,1,3,1,3
customers-api,com.hr.management.dto.response,CustomerResponse,230,45,54,0,0,7,31,13,4,13
customers-api,com.hr.management.dto.response,CommandResponse,0,13,0,0,0,2,0,3,0,3
customers-api,com.hr.management.dto.response,ApiPagedResponse,164,33,28,0,8,6,19,6,5,6
customers-api,com.hr.management.dto.response,RoleResponse,68,47,20,2,0,3,14,6,3,6
customers-api,com.hr.management.common,Constants,3,0,0,0,1,0,1,0,1,0
customers-api,com.hr.management.model,User,103,42,14,0,10,9,15,11,8,11
customers-api,com.hr.management.model,Address,45,42,0,0,11,7,4,12,4,12
customers-api,com.hr.management.model,Customer,112,50,22,0,1,10,19,10,8,10
customers-api,com.hr.management.model,Role,42,84,8,6,7,10,11,9,4,9
customers-api,com.hr.management.model,RoleType,0,15,0,0,0,3,0,1,0,1
customers-api,com.hr.management.model,Customer.CustomerBuilder,14,49,0,0,0,1,1,8,1,8
customers-api,com.hr.management.dto.mapper,CustomerRequestMapperImpl,118,106,11,5,29,24,10,5,3,4
customers-api,com.hr.management.dto.mapper,CustomerResponseMapper,8,0,0,0,2,0,2,0,2,0
customers-api,com.hr.management.dto.mapper,CustomerResponseMapperImpl,114,104,11,5,29,24,10,5,3,4
customers-api,com.hr.management.dto.mapper,UserRequestMapperImpl,56,3,4,0,16,1,4,1,2,1
customers-api,com.hr.management.dto.mapper,UserResponseMapperImpl,97,92,11,5,26,22,10,5,3,4
customers-api,com.hr.management.dto.mapper,CustomerRequestMapper,8,0,0,0,2,0,2,0,2,0
customers-api,com.hr.management.dto.mapper,UserResponseMapper,0,17,0,0,0,2,0,1,0,1
customers-api,com.hr.management.search,SearchCriteria.SearchCriteriaBuilder,15,30,0,0,0,1,2,5,2,5
customers-api,com.hr.management.search,SearchCriteria,176,50,38,0,5,8,24,11,5,11
customers-api,com.hr.management.search,CustomerSearch,557,116,27,4,55,15,20,6,0,4
customers-api,com.hr.management.search,CustomerSearchBuilder,43,37,4,2,7,9,4,3,1,3
customers-api,com.hr.management.search,CustomerSearchDTO,107,17,22,0,1,4,16,5,5,5
customers-api,com.hr.management.search,SearchOperation,38,172,15,3,16,9,15,4,1,2
customers-api,com.hr.management.config,SecurityConfig,0,100,0,0,0,20,0,7,0,7
customers-api,com.hr.management.config,ClockConfig,0,5,0,0,0,2,0,2,0,2
customers-api,com.hr.management.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
customers-api,com.hr.management.config,AppConfig,0,36,0,0,0,6,0,3,0,3
customers-api,com.hr.management.dto.request,ProfileRequest,185,10,38,0,3,2,29,3,10,3
customers-api,com.hr.management.dto.request,CustomerRequest,130,43,22,0,2,7,21,8,10,8
customers-api,com.hr.management.dto.request,CustomerRequest.CustomerRequestBuilder,19,44,0,0,0,1,2,7,2,7
customers-api,com.hr.management.dto.request,LoginRequest,98,17,22,0,0,3,15,5,4,5
customers-api,com.hr.management.dto.request,AddressRequest,77,127,19,11,1,8,21,12,7,11
customers-api,com.hr.management.dto.request,UserRequest,258,17,54,0,4,3,39,5,12,5
customers-api,com.hr.management.dto.request,AddressRequest.AddressRequestBuilder,19,44,0,0,0,1,2,7,2,7
